Account_Number,Customer_ID,Account_Type,Current_Balance,Status
ACC_5534,CUST_1246,,112376.76,Active
ACC_5535,CUST_1030,Savings,127131.79,Active
ACC_5536,CUST_1433,,128697.89,Blocked
ACC_5537,CUST_1305,CURR,248731.21,Active
ACC_5538,CUST_1019,Current,28284.59,Inactive
ACC_5539,CUST_1193,,84109.13,Inactive
ACC_5540,CUST_1208,Savings,62212.4,Active
ACC_5541,CUST_1487,Savings,116303.07,Blocked
ACC_5542,CUST_1252,Savings,243180.28,Inactive
ACC_5543,CUST_1346,Savings,59676.53,
ACC_5544,CUST_1411,SAVINGS,,Blocked
ACC_5545,CUST_1363,,52710.03,Inactive
ACC_5546,CUST_1492,,23457.23,
ACC_5547,CUST_1462,SAVINGS,61769.15,Inactive
ACC_5548,CUST_1152,Savings,142047.82,Blocked
ACC_5549,CUST_1476,CURR,46767.12,Inactive
ACC_5550,CUST_9999,,201286.97,Active
ACC_5551,CUST_1145,Savings,43015.34,Blocked
ACC_5552,CUST_1061,CURR,200527.41,
ACC_5553,CUST_1392,SAVINGS,232018.49,Active
ACC_5554,CUST_1070,Current,136241.23,Blocked
ACC_5555,CUST_1432,CURR,24317.48,
ACC_5556,CUST_1021,Current,130167.66,Blocked
ACC_5557,CUST_1495,Savings,161661.58,
ACC_5558,CUST_1212,SAVINGS,159900.06,Blocked
ACC_5559,CUST_1482,,147318.57,Inactive
ACC_5560,CUST_1439,SAVINGS,212696.29,Active
ACC_5561,CUST_1089,Current,212263.58,
ACC_5562,CUST_1253,Savings,,
ACC_5563,CUST_1450,CURR,108390.6,
ACC_5564,CUST_1209,SAVINGS,185959.38,
ACC_5565,CUST_1133,Savings,142529.79,Blocked
ACC_5566,CUST_1277,CURR,28095.12,Inactive
ACC_5567,CUST_1292,CURR,40929.69,Inactive
ACC_5568,CUST_1002,Current,134494.47,Inactive
ACC_5569,CUST_1220,,234777.58,Active
ACC_5570,CUST_1436,Current,162746.84,Active
ACC_5571,CUST_1198,SAVINGS,72116.1,Inactive
ACC_5572,CUST_1197,,9971.53,Active
ACC_5573,CUST_1287,SAVINGS,147987.89,
ACC_5574,CUST_1020,,217019.27,
ACC_5575,CUST_9999,Current,220632.94,Inactive
ACC_5576,CUST_1342,,115300.91,Active
ACC_5577,CUST_1207,Current,69261.27,Blocked
ACC_5578,CUST_1320,Current,61256.41,Blocked
ACC_5579,CUST_1296,,185100.07,Blocked
ACC_5580,CUST_1422,,,
ACC_5581,CUST_1112,SAVINGS,99656.98,Inactive
ACC_5582,CUST_1468,Savings,4626.14,Blocked
ACC_5583,CUST_1443,,205484.94,Blocked
ACC_5584,CUST_1300,SAVINGS,146627.43,Blocked
ACC_5585,CUST_1445,Savings,136306.42,Blocked
ACC_5586,CUST_1389,Current,106601.11,Active
ACC_5587,CUST_1183,SAVINGS,40568.66,Blocked
ACC_5588,CUST_1221,Current,-1588.3,Blocked
ACC_5589,CUST_1039,,11373.1,Inactive
ACC_5590,CUST_1182,,3460.29,
ACC_5591,CUST_1311,SAVINGS,133994.61,
ACC_5592,CUST_1377,Savings,121830.14,
ACC_5593,CUST_1210,Current,76753.89,
ACC_5594,CUST_1349,CURR,132101.63,
ACC_5595,CUST_1188,SAVINGS,2266.63,Inactive
ACC_5596,CUST_1272,Savings,15753.52,Inactive
ACC_5597,CUST_1177,,216591.79,
ACC_5598,CUST_1253,SAVINGS,,Blocked
ACC_5599,CUST_1144,CURR,100334.23,Active
ACC_5600,CUST_9999,Current,16734.33,Blocked
ACC_5111,CUST_1093,Savings,22032.71,
ACC_5420,CUST_1390,SAVINGS,234446.27,Inactive
ACC_5566,CUST_1277,CURR,28095.12,Inactive
ACC_5078,CUST_1366,,248247.51,
ACC_5182,CUST_1185,Current,235002.15,Inactive
ACC_5285,CUST_1243,Current,119447.89,Blocked
ACC_5011,CUST_1446,,44950.11,Active
ACC_5470,CUST_1356,SAVINGS,200544.56,
ACC_5079,CUST_1212,,150657.24,Inactive
ACC_5350,CUST_9999,,221844.47,
ACC_5056,CUST_1371,CURR,210355.58,
ACC_5119,CUST_1146,Savings,65404.26,Inactive
ACC_5110,CUST_1472,Savings,239806.13,
ACC_5589,CUST_1039,,11373.1,Inactive
ACC_5370,CUST_1423,,209003.92,Blocked
ACC_5235,CUST_1131,SAVINGS,31738.55,
ACC_5031,CUST_1305,CURR,64544.38,Blocked
ACC_5213,CUST_1366,Current,178729.58,Active
ACC_5185,CUST_1002,,153740.69,Active
ACC_5087,CUST_1320,Current,108353.64,
